Причина 1;Причина 2;Причина 3
GPRS-WAP;Проблема;Другое
GPRS-WAP;Проблема;Работа услуги
GPRS-WAP;Проблема;Сбой/Перегрузка сети
USB-модем Билайн;Консультация по балансу;None
USB-модем Билайн;Консультация по трафику;None
USB-модем Билайн;Настройка;None
USB-модем Билайн;Не дождался списания аб/пл;None
USB-модем Билайн;Некорректная тарификация;Не списалась аб/плата
USB-модем Билайн;Некорректная тарификация;Необоснов. Блокировка
USB-модем Билайн;Проблема;Некорректное огранич. скорости
USB-модем Билайн;Проблема;Нет соединения
USB-модем Билайн;Проблема;Низкая скорость
Зона покрытия;2G;None
Зона покрытия;3G;None
Зона покрытия;4G;None
Зона покрытия;Интернет;None
Качество связи. Покрытие;Зона обслуживания;None
Качество связи. Покрытие;Претензия;None
Качество связи. Покрытие;Проблема;None
Качество связи;3G/2G;Зона покрытия
Качество связи;3G/2G;Нет регистрации
Качество связи;3G/2G;Общая информация
Качество связи;4G;Зона покрытия
Качество связи;4G;Нет регистрации
Качество связи;4G;Общая информация
Качество связи;Другое;None
Качество связи;Роуминг;Нет регистрации
Клиент. Оборуд./ Голос.связь/ Интернет;Настройки интернета;None
Клиент. Оборуд./ Голос.связь/ Интернет;Претензия на работу интернета;None
Клиент. Обращение по ТТ;Работа интернета;ТТ закрыт, проблема сохраняется
Клиент. Обращение по ТТ;Работа интернета;ТТ открыт
Клиент. Переключение по CASE;Case "Другое";Запрос передан в смежное подразделение
Клиент. Переключение по CASE;Case "Другое";Кейс закрыт/ Проблема повторяется
Клиент. Переключение по CASE;Case "Другое";Клиент не согласен с решением по кейсу
Клиент. Переключение по CASE;Case "Другое";Передан в работу/Ускорение рассмотрения
Клиент. Переключение по CASE;Case "Другое";Срок решения истек
Клиент. Переключение по CASE;Case "Другое";Срок решения не истек
Клиент. Переключение по CASE;ВО Сохранение/Контроль;Вопрос в работе/Заведен инц./Запрос в др. подразделение
Клиент. Переключение по CASE;ВО Сохранение/Контроль;Кейс закрыт/ Проблема повторяется
Клиент. Переключение по CASE;ВО Сохранение/Контроль;Клиент не согласен с решением по кейсу
Клиент. Переключение по CASE;ВО Сохранение/Контроль;Срок решения истек
Клиент. Переключение по CASE;ВО сохранение/Передача клиента;Вопрос в работе/Заведен инц./Запрос в др. подразделение
Клиент. Переключение по CASE;ВО сохранение/Передача клиента;Кейс закрыт/ Проблема повторяется
Клиент. Переключение по CASE;ВО сохранение/Передача клиента;Клиент не согласен с решением по кейсу
Клиент. Переключение по CASE;ВО сохранение/Передача клиента;Срок решения истек
Клиент. Переключение по CASE;ВО сохранение/Передача клиента;Срок решения не истек
Клиент. Переключение по CASE;ВО/Письменная претензия;Вопрос в работе/Заведен инц./Запрос в др. подразделение
Клиент. Переключение по CASE;ВО/Письменная претензия;Кейс закрыт/ Проблема повторяется
Клиент. Переключение по CASE;ВО/Письменная претензия;Клиент не согласен с решением по кейсу
Клиент. Переключение по CASE;ВО/Письменная претензия;Срок решения истек
Клиент. Переключение по CASE;ВО/Письменная претензия;Срок решения не истек
Настройки;3G/4G - Wifi роутер;Не настроена точка доступа (другая)
Настройки;3G/4G - Wifi роутер;Не настроена точка доступа home
Настройки;3G/4G - Wifi роутер;Не настроена точка доступа internet
Настройки;3G/4G - Wifi роутер;Не настроено подключение по WiFi
Настройки;3G/4G - Wifi роутер;Нет настроек сети 2G/3G/4G
Настройки;3G/4G - Wifi роутер;Установка/Удаление ПО роутера
Настройки;Int. Интернет с USB модема;Голосовая SIM -карта (смена точки доступа)
Настройки;Int. Интернет с USB модема;Настройки сбросились
Настройки;Int. Интернет с USB модема;Первичное обращение
Настройки;Int. Интернет с USB модема;Повторное обращение (самост. Не настроил)
Настройки;Int. Интернет с USB модема;Подключение к новому устройству
Настройки;Int. Интернет с USB модема;Универсальный/ связной модем
Настройки;Int. Интернет с телефона/планшета;SIM карта (смена точки доступа)
Настройки;Int. Интернет с телефона/планшета;Автоматические настройки не подошли
Настройки;Int. Интернет с телефона/планшета;Настройки сбросились
Настройки;Int. Интернет с телефона/планшета;ПЕРВИЧНОЕ ОБРАЩЕНИЕ (SMS С АВТО НАСТРОЙКАМИ/САЙТ)
Настройки;Int. Интернет с телефона/планшета;Первичное обращение (SMS с руч. настройками/ сайт)
Настройки;Int. Интернет с телефона/планшета;Повторное обращение (самост. Не настроил)
Настройки;USB-модем;Не настроен универсальный модем
Настройки;USB-модем;Не настроена точка доступа (другая)
Настройки;USB-модем;Не настроена точка доступа home
